Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption
NA19784	MXL	AMR	false	false	8
NA19102	YRI	AFR	true	false	6
HG00141	GBR	EUR	false	false	6
HG01890	ACB	AFR	false	false	8
HG00263	GBR	EUR	true	true	6
NA20908	GIH	SAS	true	true	9
HG04075	STU	SAS	true	false	9
NA18982	JPT	EAS	false	false	5
NA12873	CEU	EUR	true	false	6
HG02677	GWD	AFR	true	true	5
HG03873	ITU	SAS	true	false	5
NA18988	JPT	EAS	false	true	6
NA19669	MXL	AMR	true	true	9
NA19056	JPT	EAS	false	true	3
NA20413	ASW	AFR	false	true	5
HG03709	PJL	SAS	true	true	3
NA19703	ASW	AFR	false	true	6
NA20339	ASW	AFR	true	true	4
HG01249	PUR	AMR	true	true	3
HG03299	ESN	AFR	false	true	8
HG00266	FIN	EUR	true	true	7
NA12003	CEU	EUR	false	false	5
HG02574	GWD	AFR	true	true	8
HG03479	MSL	AFR	true	true	8
NA19401	LWK	AFR	true	true	6
NA19396	LWK	AFR	true	true	4
NA18612	CHB	EAS	false	true	4
NA19332	LWK	AFR	true	true	3
NA19679	MXL	AMR	false	false	4
NA19318	LWK	AFR	false	false	8
HG03702	PJL	SAS	false	false	4
NA21108	GIH	SAS	true	false	7
NA19063	JPT	EAS	false	false	6
NA18567	CHB	EAS	true	false	6
NA19127	YRI	AFR	true	true	5
HG03793	BEB	SAS	true	false	7
HG00513	CHS	EAS	true	true	7
HG01785	IBS	EUR	false	true	7
HG03949	STU	SAS	true	true	5
NA18596	CHB	EAS	true	true	5
HG01509	IBS	EUR	false	false	8
HG00565	CHS	EAS	false	true	4
HG02266	PEL	AMR	true	false	9
NA19077	JPT	EAS	true	true	6
HG01489	CLM	AMR	true	false	7
NA11920	CEU	EUR	true	false	9
HG03716	ITU	SAS	false	false	3
HG03478	MSL	AFR	false	false	6
NA20317	ASW	AFR	true	false	8
NA10847	CEU	EUR	true	true	3
HG00275	FIN	EUR	true	false	9
HG02820	GWD	AFR	true	false	8
NA19763	MXL	AMR	true	true	7
NA20531	TSI	EUR	true	true	4
HG01392	PUR	AMR	false	false	5
HG02367	CDX	EAS	false	true	5
NA21117	GIH	SAS	false	false	4
NA18519	YRI	AFR	false	false	4
HG03717	ITU	SAS	true	true	5
HG01870	KHV	EAS	true	false	5
NA18877	YRI	AFR	false	false	7
NA20320	ASW	AFR	true	true	6
HG03847	STU	SAS	false	true	6
HG02464	GWD	AFR	false	false	8
HG04152	BEB	SAS	false	false	8
NA19756	MXL	AMR	false	false	5
HG03753	STU	SAS	false	true	3
NA19762	MXL	AMR	false	false	6
NA19175	YRI	AFR	false	false	3
NA18954	JPT	EAS	true	true	8
NA19908	ASW	AFR	false	false	9
HG02240	IBS	EUR	true	true	9
NA19430	LWK	AFR	false	true	8
HG02794	PJL	SAS	false	false	7
HG00579	CHS	EAS	true	true	8
NA12892	CEU	EUR	true	true	5
NA18647	CHB	EAS	false	false	6
HG00474	CHS	EAS	false	true	7
NA11893	CEU	EUR	false	true	5
NA19735	MXL	AMR	false	false	6
NA19185	YRI	AFR	true	false	5
NA21133	GIH	SAS	false	true	5
HG01113	CLM	AMR	true	false	6
HG03942	BEB	SAS	false	true	9
HG03683	STU	SAS	true	false	8
HG03300	ESN	AFR	true	false	5
HG01433	CLM	AMR	false	true	5
HG03657	PJL	SAS	false	false	9
HG00138	GBR	EUR	false	false	8
HG01622	IBS	EUR	true	false	9
NA19650	MXL	AMR	false	true	4
HG02406	CDX	EAS	false	false	9
HG02685	PJL	SAS	true	false	7
HG01968	PEL	AMR	true	false	5
HG03028	GWD	AFR	true	true	7
NA12287	CEU	EUR	true	true	4
NA19730	MXL	AMR	true	false	8
NA12776	CEU	EUR	true	true	3
HG02071	KHV	EAS	false	true	8
HG02154	CDX	EAS	true	true	4
HG02399	CDX	EAS	false	true	7
NA18499	YRI	AFR	true	true	4
HG00265	GBR	EUR	false	true	3
HG02860	GWD	AFR	false	true	5
NA19713	ASW	AFR	true	true	8
HG02059	KHV	EAS	true	false	3
HG00599	CHS	EAS	true	false	7
HG02897	GWD	AFR	true	true	8
HG01357	CLM	AMR	true	true	5
HG02223	IBS	EUR	true	true	5
HG03027	GWD	AFR	false	true	4
HG04177	BEB	SAS	true	false	8
HG01681	IBS	EUR	true	false	3
HG02330	ACB	AFR	false	true	10
HG02938	ESN	AFR	false	true	7
HG03019	PJL	SAS	true	false	3
NA18879	YRI	AFR	false	true	6
HG04225	ITU	SAS	false	true	7
HG03189	ESN	AFR	true	false	3
NA19741	MXL	AMR	false	true	9
HG02789	PJL	SAS	false	false	7
HG01979	PEL	AMR	false	true	8
NA19909	ASW	AFR	true	true	3
NA19670	MXL	AMR	false	false	8
HG04022	ITU	SAS	false	true	6
HG04042	STU	SAS	true	false	4
NA19700	ASW	AFR	false	true	5
NA18630	CHB	EAS	true	true	9
NA18973	JPT	EAS	true	true	8
NA19152	YRI	AFR	true	false	6
NA20274	ASW	AFR	true	false	9
HG01359	CLM	AMR	false	true	8
HG01125	CLM	AMR	true	false	5
HG02292	PEL	AMR	true	false	6
HG03125	ESN	AFR	true	true	8
NA19085	JPT	EAS	false	true	7
HG00189	FIN	EUR	false	false	7
NA10837	CEU	EUR	false	false	8
HG00480	CHS	EAS	false	true	7
NA20509	TSI	EUR	false	true	5
HG00404	CHS	EAS	true	false	8
HG00282	FIN	EUR	true	false	3
HG04184	BEB	SAS	true	false	3
HG01122	CLM	AMR	true	true	8
HG01578	PEL	AMR	true	true	6
HG01281	CLM	AMR	true	false	6
NA19084	JPT	EAS	true	true	9
NA18606	CHB	EAS	false	true	4
NA12801	CEU	EUR	false	true	3
HG01383	CLM	AMR	false	false	6
HG00675	CHS	EAS	true	false	6
HG01612	IBS	EUR	true	true	8
HG04080	ITU	SAS	false	true	6
HG02374	CDX	EAS	false	true	8
HG01990	ACB	AFR	false	true	10
NA19199	YRI	AFR	true	false	6
HG03692	STU	SAS	true	false	7
NA20276	ASW	AFR	true	false	8
HG01110	PUR	AMR	false	false	8
HG04198	ITU	SAS	false	false	5
HG00556	CHS	EAS	false	false	8
HG01853	KHV	EAS	true	false	7
HG01481	CLM	AMR	true	false	6
HG02397	CDX	EAS	false	false	8
NA19173	YRI	AFR	false	false	9
NA18865	YRI	AFR	false	false	8
HG01933	PEL	AMR	true	true	5
HG00290	FIN	EUR	false	false	9
NA12341	CEU	EUR	true	true	6
HG03618	PJL	SAS	false	false	3
HG00250	GBR	EUR	true	false	6
HG03175	ESN	AFR	false	true	6
HG01173	PUR	AMR	false	false	6
HG02806	GWD	AFR	true	true	8
NA20349	ASW	AFR	false	true	5
HG00185	FIN	EUR	false	true	8
HG00731	PUR	AMR	false	true	7
HG03304	ESN	AFR	false	false	8
NA18522	YRI	AFR	false	true	3
HG01922	PEL	AMR	true	false	8
HG03538	GWD	AFR	false	true	5
NA20852	GIH	SAS	false	false	4
HG00472	CHS	EAS	false	true	7
HG01346	CLM	AMR	true	false	7
NA20342	ASW	AFR	false	false	9
HG02058	KHV	EAS	false	false	5
NA19197	YRI	AFR	true	true	8
HG03372	ESN	AFR	true	false	9
NA19240	YRI	AFR	true	false	9
NA19776	MXL	AMR	true	false	5
NA12707	CEU	EUR	false	false	4
HG02486	ACB	AFR	false	false	6
NA07345	CEU	EUR	true	true	7
HG00242	GBR	EUR	false	false	8
